    x       Q2         F2       stat       sys     
 0.070     8.75      0.37824   0.00583   0.00405 
 0.070     7.50      0.38934   0.00600   0.00714 
 0.070     8.75      0.37713   0.00388   0.00762 
 0.070    10.25      0.37381   0.00596   0.00747 
 0.070    17.00      0.39928   0.00521   0.00663 
 0.070    19.00      0.39989   0.00527   0.00669 
 0.100     7.50      0.38055   0.00424   0.00480 
 0.100     8.75      0.38347   0.00351   0.00525 
 0.100    10.25      0.38249   0.00284   0.00506 
 0.100    11.75      0.38341   0.00476   0.00506 
 0.100    13.25      0.38291   0.00516   0.00471 
 0.100    19.00      0.39548   0.00407   0.00345 
 0.100    21.50      0.39338   0.00317   0.00386 
 0.100    24.50      0.39402   0.00339   0.00327 
 0.100    32.50      0.39629   0.00559   0.00442 
 0.100    37.50      0.39408   0.00630   0.00329 
 0.140     8.75      0.37560   0.00390   0.00426 
 0.140    10.25      0.37676   0.00396   0.00447 
 0.140    11.75      0.37616   0.00343   0.00442 
 0.140    13.25      0.36979   0.00365   0.00410 
 0.140    15.00      0.37348   0.00366   0.00430 
 0.140    17.00      0.37197   0.00627   0.00397 
 0.140    19.00      0.36233   0.00684   0.00379 
 0.140    21.50      0.37841   0.00361   0.00317 
 0.140    24.50      0.37991   0.00378   0.00355 
 0.140    28.00      0.37499   0.00362   0.00249 
 0.140    32.50      0.36709   0.00356   0.00262 
 0.140    37.50      0.37285   0.00654   0.00289 
 0.140    43.00      0.37063   0.00645   0.00265 
 0.140    49.50      0.35668   0.00661   0.00253 
 0.140    57.00      0.37001   0.00802   0.00248 
 0.180     8.75      0.36786   0.00489   0.00475 
 0.180    10.25      0.36457   0.00474   0.00409 
 0.180    11.75      0.36324   0.00405   0.00412 
 0.180    13.25      0.36021   0.00422   0.00412 
 0.180    15.00      0.35659   0.00405   0.00395 
 0.180    17.00      0.35217   0.00441   0.00371 
 0.180    19.00      0.34539   0.00745   0.00378 
 0.180    21.50      0.35224   0.00359   0.00310 
 0.180    24.50      0.35437   0.00381   0.00270 
 0.180    28.00      0.36004   0.00413   0.00248 
 0.180    32.50      0.34712   0.00288   0.00206 
 0.180    37.50      0.34144   0.00277   0.00158 
 0.180    43.00      0.34514   0.00276   0.00137 
 0.180    49.50      0.33701   0.00706   0.00211 
 0.180    57.00      0.34082   0.00475   0.00140 
 0.180    65.50      0.33512   0.00504   0.00139 
 0.225    10.25      0.34051   0.00481   0.00395 
 0.225    11.75      0.33715   0.00399   0.00383 
 0.225    13.25      0.33816   0.00418   0.00376 
 0.225    15.00      0.33145   0.00387   0.00364 
 0.225    17.00      0.32498   0.00414   0.00348 
 0.225    19.00      0.31955   0.00447   0.00350 
 0.225    21.50      0.31675   0.00420   0.00345 
