# Date/Time =  Dec 7 07:00:00  2012
==== Crate 3 type fastbus
#	slot	model	clear	header	mask	nchan	ndata
	16	1881	1	0x0	0x0	64	64
	17	1881	1	0x0	0x0	64	64
	18	1881	1	0x0	0x0	64	64
	19	1881	1	0x0	0x0	64	64
	20	1881	1	0x0	0x0	64	64
	21	1881	1	0x0	0x0	64	64
	22	1881	1	0x0	0x0	64	64
	31	1881	1	0x0	0x0	64	64
==== Crate 4 type fastbus
#	slot	model	clear	header	mask	nchan	ndata
	3	1877	1	0x0	0x0	96	672
	4	1877	1	0x0	0x0	96	672
	5	1877	1	0x0	0x0	96	672
	6	1877	1	0x0	0x0	96	672
	7	1877	1	0x0	0x0	96	672
	8	1877	1	0x0	0x0	96	672
	9	1877	1	0x0	0x0	96	672
	10	1877	1	0x0	0x0	96	672
	11	1877	1	0x0	0x0	96	672
	17	1877	1	0x0	0x0	96	672
	18	1877	1	0x0	0x0	96	672
	22	1877	1	0x0	0x0	96	672
	31	1877	1	0x0	0x0	96	672
==== Crate 5 type fastbus
#	slot	model	clear	header	mask	nchan	ndata
	16	1877	1	0x0	0x0	96	672
	17	1877	1	0x0	0x0	96	672
	18	1877	1	0x0	0x0	96	672
	19	1877	1	0x0	0x0	96	672
	20	1877	1	0x0	0x0	96	672
	21	1877	1	0x0	0x0	96	672
	22	1877	1	0x0	0x0	96	672
	23	1877	1	0x0	0x0	96	672
	24	1877	1	0x0	0x0	96	672
	31	1877	1	0x0	0x0	96	672
==== Crate 2 type fastbus
#	slot	model	clear	header	mask	nchan	ndata
	3	1877	1	0x0	0x0	96	672
	4	1877	1	0x0	0x0	96	672
	5	1877	1	0x0	0x0	96	672
	6	1877	1	0x0	0x0	96	672
	7	1877	1	0x0	0x0	96	672
	8	1877	1	0x0	0x0	96	672
	9	1877	1	0x0	0x0	96	672
	10	1877	1	0x0	0x0	96	672
	11	1877	1	0x0	0x0	96	672
	17	1877	1	0x0	0x0	96	672
	18	1877	1	0x0	0x0	96	672
	31	1877	1	0x0	0x0	96	672
==== Crate 6 type fastbus
#	slot	model	clear	header	mask	nchan	ndata
	16	1877	1	0x0	0x0	96	672
	17	1877	1	0x0	0x0	96	672
	18	1877	1	0x0	0x0	96	672
	19	1877	1	0x0	0x0	96	672
	20	1877	1	0x0	0x0	96	672
	21	1877	1	0x0	0x0	96	672
	22	1877	1	0x0	0x0	96	672
	23	1877	1	0x0	0x0	96	672
	24	1877	1	0x0	0x0	96	672
	31	1877	1	0x0	0x0	96	672
==== Crate 1 type fastbus
#	slot	model	clear	header	mask	nchan	ndata
	16	1881	1	0x0	0x0	64	64
	17	1881	1	0x0	0x0	64	64
	18	1881	1	0x0	0x0	64	64
	19	1881	1	0x0	0x0	64	64
	20	1881	1	0x0	0x0	64	64
	21	1881	1	0x0	0x0	64	64
	22	1881	1	0x0	0x0	64	64
	23	1881	1	0x0	0x0	64	64
	31	1881	1	0x0	0x0	64	64	
==== Crate 31 type vme 
#      slot     model   bank
       6      250      250
       7      250      250
       8      250      250
       9      250      250
      16     3204        8
==== Crate 20 type vme 
#      slot     model   bank
        8     3204        8
       13      250      250
       14      250      250
       15      250      250
       16      250      250
       19     1984        7
==== Crate 11 type scaler "evleft" 
#      slot	model	clear	header	mask	nchan	ndata
   	1	3801	1	0xabc10000	0xffff0000	32	32
    2	3801	1	0xabc20000	0xffff0000	32	32
    3	3800	1	0xabc30000	0xffff0000	32	32
	4	3800	1	0xabc40000	0xffff0000	32	32
	5	3800	1	0xabc50000	0xffff0000	32	32
	6	3800	1	0xabc60000	0xffff0000	32	32
    7	3800	1	0xabc70000	0xffff0000	32	32
==== Crate 10 type scaler "evright" 
#      slot	model	clear	header	mask	nchan	ndata  
    1	3800	1	0xceb10000	0xffff0000	32	32
	2	3800	1	0xceb20000	0xffff0000	32	32
	3	1151	1	0xceb30000	0xffff0000	16	16
	4	1151	1	0xceb40000	0xffff0000	16	16
